Judul,Narasi,Indikator
APD dari China Dibeli dengan Uang Pribadi Prabowo,"Pada situs kemhan.go.id dalam artikel berjudul Menhan Prabowo Subianto Serahkan Bantuan Alkes dari Tiongkok Untuk Rumah Sakit Rujukan Penanganan Covid-19, dituliskan bahwa Operasi Humanitarian ",0
 Video Penerbangan dari Italia ke ethiopia. Semua penumpang dinyatakan positif,"BUKAN di Ethiopia dan TIDAK terkait COVID-19. Video itu adalah Simulasi Darurat Teroris di Bandara Internasional Blaise Diagne, Senegal pada November 2019. Selengkapnya di bagian",0
 Akun Twitter resmi Menteri Pendidikan dan Kebudayaan NadimMakarim,"BUKAN akun resmi milik Mendikbud Nadiem Makarim. Kemendikbud menyatakan bahwa Nadiem Makarim tidak memiliki akun pribadi di media sosial apapun. Saat ini, akun NadimMakarim itu ",0
 Inggris Rusuh Akibat Lockdown,Hasil Periksa Fakta Auliyaa Muhammad Hesa (Anggota Komisariat MAFINDO UI & UKM FC UI) Unggahan video melalui Facebook tentang rakyat di Inggris yang bertindak secara,0
 Peta Zona Merah Virus Corona Wilayah Purwokerto,"Melalui media sosial Facebook dan pesan berantai Whatsapp, beredar unggahan yang disertai dengan tangkapan layar berupa peta yang diklaim merupakan daerah zona merah wilayah Purwokerto ",0
 Obat Avigan yang Dipesan Jokowi adalah Obat Pembunuh Janin,"Hasil Periksa Fakta Riski Maulana (Anggota Komisariat MAFINDO BSI) Melalui akun Facebook Soetrisno Loveathlete Lovemirae memposting tangkapan layar pesan berantai dari Whatsapp pada Sabtu, 21 ",0
 Warga Dihimbau Tak Melintas di Depan Toko Spectra Dikarenakan Adanya ODP Akibat Virus Corona,"Sebuah pesan berantai beredar di kalangan masyarakat, dalam pesan disebutkan bahwa untuk warga Pangarangan agar tidak melintas di depan toko spectra. Hal itu dilakukan agar ",0
 Virus Corona Adalah Sejenis Jamur Atau Mould,"Hasil Periksa Fakta Indri Pramesti Widyaningrum (Anggota Komisariat MAFINDO Universitas Gunadarma) Penyebab wabah COVID-19 adalah SARS-Cov-2 yang menurut WHO adalah masuk keluarga virus, bukan jamur. ",0
 Pinjaman 2 Juta Untuk Pengemudi Gojek Agar Berdiam Diri di Rumah,Informasi berupa infografik mengenai program pinjaman 2 juta rupiah dari Gojek kepada mitra pengemudi merupakan informasi yang tidak benar. Chief Corporate Affairs Gojek Nila Marita ,0
 Kematian disebabkan COVID-19: Dibalut dalam bag,"BUKAN kantong mayat. Portable Isolation Chamber (PIC), alat medis di dalam foto, adalah sebuah unit isolasi mobilitas untuk memindahkan pasien dengan penyakit sangat menular atau ",0
 Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari,"Bukan foto Presiden Italia. Pria di foto itu adalah Jair Messias Bolsonaro, Presiden Brasil ke 38. Sementara, Presiden Italia adalah Sergio Mattarella. Selengkapnya di bagian ",0
 Bawang merah yang dikupas bisa menyedot dan membunuh virus dan kuman,Hoaks lama beredar kembali. Tak ada bukti ilmiah bahwa bawang merah mentah yang dipotong bisa menyerap kuman atau meredakan udara dari virus. Selengkapnya di bagian ,0
 Foto Salat Jumat di Gaza hari ini,Bukan foto salat Jumat. Foto itu adalah foto jamaah salat Tarawih di Masjid Al-Khaldi di pantai Laut Gaza pada tahun 2019. Selengkapnya di bagian PENJELASAN ,0
" RS Premier Bintaro di-Lockdown, 19 Tenaga Medis Positif COVID-19",Hasil Periksa Fakta Auliyaa Muhammad Hesa (Anggota Komisariat MAFINDO UI & UKM FC UI) Pesan berantai melalui Whatsapp mengenai RS Premier Bintaro di-lockdown karena 19 ,0
 Pasar-Pasar Tradisional di Tanjung Karang & Teluk Betung Mulai Besok Ada yang Tutup 3 Hari SD 5 Hari,"Informasi yang beredar melalui pesan berantai Whatsapp mengenai penutupan beberapa pasar di Tanjung Karang dan Teluk Betung, Lampung dibantah oleh pihak Dinas Komunikasi dan Informatika ",0
 Ratusan Warga China yang Menetap di Indonesia Menuju Singapura karena Virus Corona,"Gambar dan klaim yang diunggah akun Facebook Maura Tria atau maura.tria.3 pada Minggu, 22 Maret 2020 adalah salah. Gambar tersebut sama persis dengan foto karya ",0
 Tulisan TO:FRONT PEMBELA ISLAM di Foto Paket Bantuan COVID-19 Tiongkok,"Foto yang dilaporkan adalah hasil suntingan, tulisan asli: Donation supplies from TSINGSHAN. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI Konten yang Dimanipulasi.  SUMBER ",0
